2022-03-19 12:19:28,530 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:28,530 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:28,890 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:28,890 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:29,250 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:29,250 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:29,625 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:29,625 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:30,000 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:30,000 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:30,375 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:40,805 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:41,228 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:41,228 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:41,697 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:41,713 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:42,151 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:42,166 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:42,651 | INFO | app.py:24 (disconnect) | disconnecting from the app
